"date";"bank";"account";"number";"mode";"payee";"comment";"quantity";"unit";"amount";"sign";"category";"status";"tracker";"bookmarked";"id";"idtransaction";"idgroup"
"0000-00-00";"Portefeuille";"Account_008";"";"";"";"";"63.12";"€";"63.12";"+";"";"Y";"";"N";"767";"759";"0"
"0000-00-00";"Portefeuille";"Account_006";"";"";"";"";"38180.00000";"CFA";"58.20507";"+";"";"Y";"";"N";"768";"760";"0"
"0000-00-00";"Bank_013";"Account_021";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"1957";"1819";"0"
"0000-00-00";"Bank_001";"Account_001";"";"";"";"";"26949.77";"€";"26949.77";"+";"";"Y";"";"N";"1993";"1848";"0"
"0000-00-00";"Bank_001";"Account_017";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"1998";"1853";"0"
"0000-00-00";"Bank_001";"Account_018";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"1999";"1854";"0"
"0000-00-00";"Bank_012";"Account_019";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2005";"1860";"0"
"0000-00-00";"Bank_010";"Account_012";"";"";"";"";"0.00000000";"ADA";"0.00000000";"";"";"Y";"";"N";"2011";"1866";"0"
"0000-00-00";"Bank_009";"Account_011";"";"";"";"";"0.00000000";"BCH";"0.00000000";"";"";"Y";"";"N";"2012";"1867";"0"
"0000-00-00";"Bank_008";"Account_010";"";"";"";"";"0.00000000";"DOGE";"0.00000000";"";"";"Y";"";"N";"2013";"1868";"0"
"0000-00-00";"Bank_011";"Account_013";"";"";"";"";"0.00000000";"SOL";"0.00000000";"";"";"Y";"";"N";"2014";"1869";"0"
"0000-00-00";"Bank_005";"Account_020";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2019";"1874";"0"
"0000-00-00";"Bank_005";"Account_005";"";"";"";"";"744.95";"€";"744.95";"+";"";"Y";"";"N";"2028";"1883";"0"
"0000-00-00";"Bank_002";"Account_002";"";"";"";"";"198.18";"€";"198.18";"+";"";"Y";"";"N";"2050";"1889";"0"
"0000-00-00";"Bank_003";"Account_003";"";"";"";"";"1310.78";"€";"1310.78";"+";"";"Y";"";"N";"2052";"1891";"0"
"0000-00-00";"Bank_001";"Account_023";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2185";"2012";"0"
"0000-00-00";"Bank_006";"Account_007";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2189";"2016";"0"
"0000-00-00";"Bank_014";"Account_022";"";"";"";"";"2500.00";"€";"2500.00";"+";"";"Y";"";"N";"2191";"2018";"0"
"0000-00-00";"Bank_015";"Account_024";"";"";"";"";"0.00000000";"B504";"0.00000000";"";"";"Y";"";"N";"2195";"2022";"0"
"0000-00-00";"Bank_004";"Account_004";"";"";"";"";"0.22727273";"TCALAVI";"3811.22747293";"+";"";"Y";"";"N";"2199";"2026";"0"
"0000-00-00";"Bank_017";"Account_028";"";"";"";"";"0.00000000";"BTC";"0.00000000";"";"";"Y";"";"N";"2298";"2118";"0"
"0000-00-00";"Bank_018";"Account_029";"";"";"";"";"4950.00000";"CFA";"7.54623";"+";"";"Y";"";"N";"2366";"2178";"0"
"0000-00-00";"Bank_016";"Account_025";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2695";"2484";"0"
"0000-00-00";"Bank_016";"Account_030";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2696";"2485";"0"
"0000-00-00";"Bank_016";"Account_027";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2697";"2486";"0"
"0000-00-00";"Bank_001";"Account_016";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2766";"2553";"0"
"0000-00-00";"Bank_001";"Account_015";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2769";"2556";"0"
"0000-00-00";"Bank_016";"Account_026";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2788";"2575";"0"
"0000-00-00";"Bank_007";"Account_009";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"2996";"2761";"0"
"0000-00-00";"Bank_019";"Account_031";"";"";"";"";"0.00000";"CFA";"0.00000";"";"";"Y";"";"N";"3122";"2872";"0"
"0000-00-00";"Bank_019";"Account_032";"";"";"";"";"0.00000";"CFA";"0.00000";"";"";"Y";"";"N";"3141";"2889";"0"
"0000-00-00";"Bank_003";"Account_034";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"3190";"2923";"0"
"0000-00-00";"Bank_020";"Account_033";"";"";"";"";"0.00";"$";"0.00";"";"";"Y";"";"N";"3192";"2925";"0"
"0000-00-00";"Bank_001";"Account_014";"";"";"";"";"0.00";"€";"0.00";"";"";"Y";"";"N";"3286";"3013";"0"
"2018-08-16";"Bank_013";"Account_021";"";"Crédit";"Payee_210";"";"600.00";"€";"600.00";"+";"Autres revenus";"Y";"";"N";"1958";"1820";"0"
"2022-10-06";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 051022 MERCHANT          14 PARIS 14     CARTE   4974********4225";"-14.75";"€";"-14.75";"-";"Maison > Ménage";"Y";"";"N";"1";"1";"0"
